,Node.Length,Node.Width,Leaf.Length,Leaf.Width,Species
140,6.9,3.1,5.4,2.1,mencia
141,6.7,3.1,5.6,2.4,mencia
142,6.9,3.1,5.1,2.3,mencia
143,5.8,2.7,5.1,1.9,mencia
144,6.8,3.2,5.9,2.3,mencia
145,6.7,3.3,5.7,2.5,mencia
146,6.7,3,5.2,2.3,mencia
147,6.3,2.5,5,1.9,mencia
148,6.5,3,5.2,2,mencia
149,6.2,3.4,5.4,2.3,mencia
150,5.9,3,5.1,1.8,mencia
